route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,shape_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056186,1,0,Yellowhead to North Shore Ex.,0,100,8-13-18,1018,0,100,24,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056175,2,0,Yellowhead to Heffley Creek,1,200,8-13-19,918,1,200,26,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056187,3,0,Yellowhead to North Shore Ex.,0,100,8-13-18,1018,0,100,24,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056176,4,0,Yellowhead to Heffley Creek,1,200,8-13-19,918,1,200,26,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056188,5,0,Yellowhead to North Shore Ex.,0,100,8-13-18,1018,0,100,24,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056179,6,0,Yellowhead to Heffley Creek,1,200,8-13-19,918,1,200,26,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056185,7,0,Yellowhead to North Shore Ex.,0,100,8-13-18,1018,0,100,24,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056178,8,0,Yellowhead to Heffley Creek,1,200,8-13-19,918,1,200,26,1
13-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347856,cxaa2056189,9,0,Yellowhead to North Shore Ex.,0,100,8-13-18,1018,0,100,24,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056052,1,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056063,2,0,Pineview to TRU,0,201,8-5-43,1242,1,201,22,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056041,3,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056065,4,0,Pineview to TRU,0,200,8-5-44,1246,1,200,21,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056038,5,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056066,6,0,Pineview to TRU,0,200,8-5-44,1246,1,200,21,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056054,7,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056067,8,0,Pineview to TRU,0,201,8-5-43,1242,1,201,22,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056042,9,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056064,10,0,Pineview to TRU,0,200,8-5-44,1246,1,200,21,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056056,11,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056069,12,0,Pineview to TRU,0,201,8-5-43,1242,1,201,22,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056040,13,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056070,14,0,Pineview to TRU,0,200,8-5-44,1246,1,200,21,1
5-Kamloops,aaKA1709-KAMSEP17-Saturday-18,347857,cxaa2056053,15,0,Pineview to Lodgepole,1,100,8-5-42,2488,0,100,10,1
